Product Type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,Timestamp
Foundation,SKU-1002,22.21,Pre-Order,2,103.61,Adult,4,7,74,3,FedEx,30.83,Supplier B,USA,1554,12,1188.12,Pass,0.0425,Road,Route-27,7726.14,2024-06-12
Lipstick,SKU-1020,83.16,Pre-Order,9,1413.07,Teen,208,5,70,5,FedEx,17.21,Supplier A,China,7310,2,1444.19,Pass,0.0463,Air,Route-10,2835.18,2024-06-12
Blush,SKU-1040,27.8,Pre-Order,14,527.67,Teen,236,2,17,1,UPS,30.56,Supplier C,India,6621,28,3920.17,Fail,0.0079,Sea,Route-35,7841.4,2024-06-12
Blush,SKU-1020,83.16,Pre-Order,17,1674.62,Senior,410,3,41,10,FedEx,35.19,Supplier B,China,712,5,1775.02,Pass,0.0027,Air,Route-3,4580.94,2024-06-12
Lipstick,SKU-1020,83.16,Pre-Order,11,2257.9,Teen,63,6,94,3,UPS,19.31,Supplier A,Mexico,5948,2,3190.57,Fail,0.0345,Air,Route-27,7262.75,2024-06-12
Blush,SKU-1002,22.21,Out of Stock,8,199.18,Adult,177,1,19,7,UPS,14.95,Supplier C,USA,7325,4,4088.54,Fail,0.0111,Air,Route-23,4213.75,2024-06-12
Lipstick,SKU-1032,73.53,Pre-Order,1,150.35,Teen,363,11,98,7,USPS,31.66,Supplier C,USA,1000,17,1752.6,Fail,0.0063,Road,Route-48,7383.15,2024-06-12
Blush,SKU-1021,24.69,Out of Stock,3,74.49,Senior,113,10,28,7,UPS,49.7,Supplier B,USA,9550,24,4170.24,Fail,0.0406,Sea,Route-10,4715.08,2024-06-12
Blush,SKU-1029,67.32,Pre-Order,10,846.3,Adult,180,9,49,9,UPS,49.19,Supplier B,China,8808,1,1827.26,Fail,0.0072,Road,Route-24,2119.55,2024-06-12
Lipstick,SKU-1032,73.53,Out of Stock,17,2813.95,Senior,114,10,61,8,USPS,17.25,Supplier A,Germany,6269,18,1436.01,Fail,0.0179,Road,Route-21,3123.68,2024-06-12
Foundation,SKU-1031,48.54,In Stock,6,564.25,Senior,342,1,90,2,DHL,38.09,Supplier A,USA,2577,24,4787.87,Pass,0.0363,Sea,Route-14,3869.82,2024-06-12
Lipstick,SKU-1048,61.2,Out of Stock,11,1465.1,Adult,90,7,79,10,UPS,43.37,Supplier A,Mexico,8099,11,819.19,Fail,0.0373,Sea,Route-9,5405.31,2024-06-12
Mascara,SKU-1017,16.21,Pre-Order,20,386.84,Senior,310,3,15,7,USPS,44.88,Supplier B,China,636,2,4130.6,Pass,0.1926,Air,Route-17,7725.61,2024-06-12
Blush,SKU-1020,83.16,In Stock,10,1225.09,Senior,14,14,11,4,DHL,40.85,Supplier A,India,4963,2,1149.79,Fail,0.0319,Sea,Route-20,159.69,2024-06-12
Lipstick,SKU-1046,55.69,In Stock,1,112.7,Senior,283,3,82,2,USPS,14.76,Supplier B,Mexico,1007,13,1724.41,Fail,0.0474,Sea,Route-15,1001.68,2024-06-12
Lipstick,SKU-1024,80.89,Pre-Order,7,894.89,Adult,476,10,99,1,USPS,28.01,Supplier A,China,7739,8,3574.95,Fail,0.0148,Air,Route-10,6163.06,2024-06-12
Foundation,SKU-1023,21.71,Pre-Order,10,509.64,Senior,5,9,90,7,UPS,16.15,Supplier A,USA,4172,11,1159.42,Pass,0.0292,Road,Route-23,6462.98,2024-06-12
Eyeliner,SKU-1036,18.64,In Stock,15,374.89,Senior,396,1,37,3,UPS,29.86,Supplier B,India,9459,4,4753.2,Pass,0.012,Sea,Route-19,9576.91,2024-06-12
Foundation,SKU-1005,39.39,Out of Stock,3,280.82,Adult,167,14,97,7,DHL,43.74,Supplier C,China,7591,9,4169.87,Fail,0.0374,Air,Route-28,4940.09,2024-06-12
Blush,SKU-1007,10.24,Pre-Order,1,11.27,Senior,184,14,6,7,USPS,37.3,Supplier A,India,4617,11,1918.02,Pass,0.0341,Sea,Route-12,7283.09,2024-06-12
Foundation,SKU-1037,12.42,In Stock,11,311.68,Teen,438,5,96,1,UPS,36.18,Supplier B,Germany,4031,3,3718.39,Fail,0.0351,Sea,Route-36,1762.13,2024-06-12
Blush,SKU-1021,24.69,Out of Stock,14,484.6,Senior,357,9,19,2,USPS,15.9,Supplier B,USA,7498,25,2129.0,Fail,0.0174,Sea,Route-31,1851.0,2024-06-12
Lipstick,SKU-1016,44.94,In Stock,20,2106.96,Adult,365,12,97,9,DHL,17.72,Supplier B,Germany,2844,10,1276.94,Pass,0.0118,Sea,Route-23,6947.01,2024-06-12
Eyeliner,SKU-1043,95.24,Pre-Order,20,1548.52,Senior,278,3,21,1,USPS,21.0,Supplier C,India,7566,18,3697.16,Pass,0.0252,Road,Route-39,1120.51,2024-06-12
Lipstick,SKU-1040,27.8,In Stock,7,426.84,Teen,19,13,95,4,USPS,30.69,Supplier A,China,7271,19,926.21,Pass,0.0398,Road,Route-46,7684.0,2024-06-12
Mascara,SKU-1017,16.21,Out of Stock,9,123.71,Teen,302,13,17,1,USPS,22.43,Supplier B,China,7589,21,2131.46,Fail,0.1739,Road,Route-6,2580.95,2024-06-12
Foundation,SKU-1039,80.91,Out of Stock,3,574.94,Teen,165,9,85,4,DHL,32.12,Supplier B,USA,6658,15,1943.73,Pass,0.014,Road,Route-17,9773.52,2024-06-12
